NOT ORIGINAL IUE PROJECT DATA PRODUCT
SWP42389LOWLARGE
HD  197481
20:42:04
-31:31:05
48
NO-TRAIL
X-OFFSETS
4079.356
04/09/91
02:56:33
247
6.49
21/09/95
GSFC
2448503.62260
45
20
1150.59 -1.12e-14  7.30e-14    -2    -3     0
1599.86  2.31e-14  4.11e-15   106    53     0
1601.54  1.14e-14  3.66e-15   106    26     0
1603.21  2.21e-14  4.00e-15   106    51     0
1604.89  1.47e-14  3.75e-15   106    34     0
1606.57  2.20e-14  4.06e-15   106    50     0
1608.24  3.08e-14  4.41e-15   106    70     0
1609.92  3.29e-14  4.43e-15   106    75     0
1611.59  2.24e-14  4.80e-15   107    51     0
1613.27  2.85e-14  4.18e-15   107    66     0
1614.95  2.35e-14  3.98e-15   107    54     0
1616.62  1.27e-14  3.52e-15   107    29     0
1618.30  2.24e-14  3.95e-15   107    51     0
1619.98  2.52e-14  4.01e-15   107    58     0
1621.65  1.99e-14  4.58e-15   107    46     0
1623.33  1.59e-14  3.74e-15   107    37     0
1625.01  2.37e-14  4.72e-15   107    56     0
1626.68  1.73e-14  3.70e-15   108    41     0
1628.36  2.28e-14  3.71e-15   108    55     0
1630.03  2.52e-14  4.04e-15   108    58     0
1631.71  1.97e-14  3.64e-15   108    46     0
1633.39  3.14e-14  4.14e-15   108    73     0
1635.06  4.09e-14  5.25e-15   108    97     0
1636.74  5.09e-14  4.71e-15   108   122     0
1638.42  6.02e-14  5.04e-15   108   144     0
1640.09  7.14e-14  6.74e-15   108   172     0
1641.77  7.18e-14  5.70e-15   108   173     0
1643.45  3.31e-14  4.06e-15   108    80     0
1645.12  1.38e-14  3.19e-15   108    33     0
1646.80  1.26e-14  3.10e-15   109    30     0
1648.47  1.71e-14  3.36e-15   109    41     0
1650.15  2.76e-14  3.78e-15   109    67     0
1651.83  2.11e-14  3.49e-15   109    51     0
1653.50  2.67e-14  3.66e-15   109    65     0
1655.18  2.86e-14  3.74e-15   109    71     0
1656.86  3.32e-14  3.97e-15   109    82     0
1658.53  2.73e-14  3.68e-15   109    68     0
1660.21  2.69e-14  3.52e-15   109    68     0
1661.89  2.29e-14  3.40e-15   109    58     0
1663.56  1.97e-14  3.77e-15   109    50     0
1665.24  2.09e-14  3.39e-15   109    52     0
1666.92  2.54e-14  3.67e-15   109    64     0
1668.59  1.69e-14  3.18e-15   110    42     0
1670.27  1.41e-14  2.97e-15   110    36     0
1671.94  1.58e-14  4.34e-15   110    41     0
1673.62  1.86e-14  4.25e-15   110    48     0
1675.30  2.23e-14  3.25e-15   110    59     0
1676.97  2.30e-14  3.19e-15   110    61     0
1678.65  2.02e-14  3.06e-15   110    54     0
1680.33  2.04e-14  3.08e-15   110    54     0
1682.00  1.84e-14  3.95e-15   110    49     0
1683.68  2.10e-14  3.52e-15   110    56     0
1685.36  2.04e-14  3.04e-15   110    54     0
1687.03  2.20e-14  3.06e-15   110    59     0
1688.71  2.36e-14  3.09e-15   110    63     0
1690.38  2.17e-14  3.02e-15   110    59     0
1692.06  1.42e-14  2.71e-15   111    38     0
1693.74  1.68e-14  2.78e-15   111    46     0
1695.41  2.17e-14  2.97e-15   111    60     0
1697.09  2.20e-14  2.93e-15   111    61     0
1698.77  2.30e-14  2.97e-15   111    64     0
1700.44  2.47e-14  2.99e-15   111    70     0
1702.12  1.95e-14  2.78e-15   111    55     0
1703.80  1.87e-14  2.75e-15   111    53     0
1705.47  2.22e-14  2.85e-15   111    63     0
1707.15  2.34e-14  3.32e-15   111    67     0
1708.82  1.90e-14  2.72e-15   111    54     0
1710.50  2.05e-14  2.76e-15   111    59     0
1712.18  2.46e-14  2.87e-15   111    71     0
1713.85  2.39e-14  2.85e-15   112    69     0
1715.53  2.36e-14  2.82e-15   112    69     0
1717.21  2.01e-14  2.62e-15   112    59     0
1718.88  2.00e-14  2.80e-15   112    59     0
1720.56  2.17e-14  2.67e-15   112    66     0
1722.24  1.82e-14  2.52e-15   112    55     0
1723.91  2.27e-14  2.61e-15   112    70     0
1725.59  2.35e-14  2.73e-15   112    70     0
1727.26  2.23e-14  2.62e-15   112    67     0
1728.94  1.71e-14  2.46e-15   112    52     0
1730.62  1.56e-14  2.35e-15   112    47     0
1732.29  1.30e-14  2.25e-15   113    40     0
1733.97  1.80e-14  2.44e-15   113    55     0
1735.65  1.57e-14  2.32e-15   113    48     0
1737.32  1.56e-14  2.31e-15   113    49     0
1739.00  2.76e-14  2.72e-15   113    87     0
1740.68  2.14e-14  2.48e-15   113    69     0
1742.35  1.49e-14  2.19e-15   113    48     0
1744.03  1.93e-14  2.36e-15   113    63     0
1745.70  1.82e-14  2.35e-15   113    59     0
1747.38  1.57e-14  2.21e-15   114    51     0
1749.06  1.79e-14  2.28e-15   114    59     0
1750.73  2.10e-14  2.38e-15   114    70     0
1752.41  2.66e-14  2.54e-15   114    89     0
1754.09  2.34e-14  2.40e-15   114    79     0
1755.76  1.70e-14  2.19e-15   114    57     0
1757.44  1.97e-14  2.26e-15   114    66     0
1759.12  1.92e-14  2.26e-15   114    65     0
1760.79  1.92e-14  2.24e-15   115    65     0
1762.47  1.81e-14  2.17e-15   115    61     0
1764.15  2.19e-14  2.30e-15   115    75     0
1765.82  1.93e-14  2.20e-15   115    66     0
1767.50  1.58e-14  2.02e-15   115    55     0
1769.17  1.77e-14  2.09e-15   115    61     0
1770.85  1.76e-14  2.09e-15   115    62     0
1772.53  1.62e-14  2.00e-15   116    57     0
1774.20  1.76e-14  2.06e-15   116    62     0
1775.88  1.92e-14  2.11e-15   116    68     0
1777.56  2.07e-14  2.15e-15   116    74     0
1779.23  2.12e-14  2.17e-15   116    76     0
1780.91  2.03e-14  2.12e-15   116    73     0
1782.59  2.14e-14  2.16e-15   117    77     0
1784.26  1.84e-14  2.03e-15   117    66     0
1785.94  2.02e-14  2.06e-15   117    74     0
1787.61  1.99e-14  2.01e-15   117    73     0
1789.29  1.78e-14  1.97e-15   117    66     0
1790.97  2.12e-14  2.11e-15   117    78     0
1792.64  2.28e-14  2.19e-15   118    84     0
1794.32  2.19e-14  2.15e-15   118    81     0
1796.00  1.91e-14  2.04e-15   118    70     0
1797.67  1.71e-14  1.96e-15   118    63     0
1799.35  2.05e-14  2.05e-15   118    76     0
1801.03  1.91e-14  1.94e-15   119    71     0
1802.70  1.96e-14  1.97e-15   119    73     0
1804.38  2.22e-14  2.07e-15   119    83     0
1806.05  2.33e-14  2.11e-15   119    86     0
1807.73  2.27e-14  2.10e-15   120    84     0
1809.41  2.42e-14  2.10e-15   120    90     0
1811.08  2.06e-14  2.09e-15   120    77     0
1812.76  1.83e-14  1.89e-15   120    68     0
1814.44  2.32e-14  2.13e-15   120    87     0
1816.11  3.06e-14  2.85e-15   121   115     0
1817.79  2.81e-14  2.29e-15   121   106     0
1819.47  2.07e-14  1.96e-15   121    78     0
1821.14  1.78e-14  1.84e-15   121    67     0
1822.82  1.68e-14  1.82e-15   122    63     0
1824.49  1.52e-14  1.72e-15   122    57     0
1826.17  1.79e-14  1.84e-15   122    66     0
1827.85  2.23e-14  2.00e-15   122    83     0
1829.52  2.23e-14  2.39e-15   123    83     0
1831.20  1.96e-14  2.44e-15   123    75     0
1832.88  1.82e-14  1.80e-15   123    69     0
1834.55  2.15e-14  1.93e-15   124    82     0
1836.23  2.19e-14  1.93e-15   124    84     0
1837.91  2.11e-14  1.89e-15   124    81     0
1839.58  2.05e-14  1.86e-15   124    79     0
1841.26  1.84e-14  1.80e-15   125    69     0
1842.93  2.07e-14  1.87e-15   125    78     0
1844.61  1.96e-14  1.82e-15   125    74     0
1846.29  2.19e-14  1.87e-15   125    85     0
1847.96  2.44e-14  1.95e-15   126    94     0
1849.64  2.17e-14  1.86e-15   126    84     0
1851.32  2.18e-14  1.88e-15   126    82     0
1852.99  2.55e-14  2.01e-15   127    96     0
1854.67  2.68e-14  2.05e-15   127   101     0
1856.35  2.43e-14  1.95e-15   127    92     0
1858.02  2.31e-14  1.91e-15   128    87     0
1859.70  2.08e-14  1.83e-15   128    78     0
1861.37  2.07e-14  1.81e-15   128    79     0
1863.05  2.34e-14  1.90e-15   129    89     0
1864.73  1.99e-14  1.77e-15   129    75     0
1866.40  2.02e-14  1.79e-15   129    76     0
1868.08  2.28e-14  1.87e-15   129    85     0
1869.76  2.03e-14  1.77e-15   130    76     0
1871.43  1.91e-14  1.73e-15   130    70     0
1873.11  1.84e-14  1.72e-15   130    68     0
1874.79  1.77e-14  1.73e-15   131    65     0
1876.46  1.69e-14  1.64e-15   131    62     0
1878.14  1.80e-14  1.68e-15   131    66     0
1879.82  2.03e-14  1.77e-15   132    74     0
1881.49  1.97e-14  1.74e-15   132    72     0
1883.17  1.89e-14  1.70e-15   132    69     0
1884.84  1.60e-14  1.59e-15   133    58     0
1886.52  1.72e-14  1.62e-15   133    62     0
1888.20  1.47e-14  1.53e-15   133    53     0
1889.87  1.45e-14  1.52e-15   134    52     0
1891.55  1.65e-14  1.65e-15   134    60     0
1893.23  1.93e-14  1.72e-15   134    70     0
1894.90  2.00e-14  1.91e-15   135    72     0
1896.58  1.82e-14  1.64e-15   135    66     0
1898.26  1.65e-14  1.58e-15   135    59     0
1899.93  1.55e-14  1.54e-15   136    55     0
1901.61  1.60e-14  1.56e-15   136    57     0
1903.28  1.83e-14  1.65e-15   136    65     0
1904.96  1.69e-14  1.58e-15   137    60     0
1906.64  1.53e-14  1.49e-15   137    55     0
1908.31  1.66e-14  1.55e-15   137    60     0
1909.99  1.75e-14  1.59e-15   138    63     0
1911.67  1.98e-14  1.67e-15   138    70     0
1913.34  1.88e-14  1.63e-15   138    66     0
1915.02  1.87e-14  1.65e-15   139    65     0
1916.70  1.59e-14  1.52e-15   139    55     0
1918.37  1.79e-14  1.60e-15   139    62     0
1920.05  1.84e-14  2.25e-15   140    64     0
1921.72  2.02e-14  3.71e-15   140    70 -4096
1923.40  1.32e-14  2.50e-15   140    46 -4096
1925.08  7.31e-15  6.84e-15   141    25 -4096
1926.75  1.25e-14  6.03e-15   141    44 -4096
1928.43  2.72e-14  6.64e-15   141    96 -4096
1930.11  1.87e-14  3.36e-15   142    66 -4096
1931.78  2.35e-14  2.16e-15   142    83     0
1933.46  2.28e-14  1.72e-15   142    81     0
1935.14  1.98e-14  1.61e-15   143    70     0
1936.81  1.59e-14  1.50e-15   143    56     0
1938.49  1.81e-14  1.59e-15   143    64     0
1940.16  1.86e-14  1.55e-15   143    66     0
1941.84  1.93e-14  1.57e-15   144    68     0
1943.52  1.91e-14  1.61e-15   144    68     0
1945.19  2.02e-14  1.58e-15   144    72     0
1946.87  1.97e-14  1.55e-15   145    71     0
1948.55  1.80e-14  1.48e-15   145    65     0
1950.22  1.99e-14  1.54e-15   145    71     0
1951.90  1.91e-14  1.51e-15   145    69     0
1953.58  1.85e-14  1.48e-15   146    67     0
1955.25  1.92e-14  1.92e-15   146    70     0
1956.93  2.07e-14  2.11e-15   146    76     0
1958.60  2.10e-14  1.96e-15   146    77     0
1960.28  1.98e-14  2.59e-15   146    73     0
1961.96  2.15e-14  1.58e-15   147    80     0
1963.63  2.06e-14  1.49e-15   147    77     0
1965.31  1.84e-14  1.43e-15   147    68     0
1966.99  1.96e-14  1.46e-15   147    72     0
1968.66  1.96e-14  1.45e-15   147    72     0
1970.34  1.86e-14  1.41e-15   148    69     0
1972.02  1.78e-14  1.37e-15   148    66     0
1973.69  1.86e-14  1.40e-15   148    68     0
1975.37  1.83e-14  1.38e-15   148    67     0
1977.05  1.63e-14  1.30e-15   148    59     0
1978.72  1.74e-14  1.34e-15   148    62     0
